Amazonas,@GobRegAmazonas
Áncash,@RegionAncash
Apurímac,@regionapurimac
Arequipa,@grarequipa
Ayacucho,@prensa_gra
Cajamarca,@regioncajamarca
Callao,@gobregcallao
Cusco,@regioncusco
Huancavelica,@grHuancavelica
Huánuco,@Gobiernohuanuco
Ica,@GoreIca
Junín,@REGIONJUNIN
La Libertad,@GRLaLibertad
Lambayeque,@gr_lambayeque
Loreto,@regionloreto
Madre de Dios,No se ha encontrado
San Martín,No se ha encontrado
Tumbes,No se ha encontrado
Moquegua,@regionmoquegua
Pasco,@regionpasco1
Piura,@RegionPiura
Puno,@GOBREGIONPUNO
Tacna,@RegionTacna
Ucayali,@Regionucayali
Muni. de Lima,@MuniLima
Municipalidad Provincial de Arequipa,@muniarequipa
Municipalidad Provincial de Arequipa,@muniarequiparet
Municipalidad Provincial de Santa,@Munisanta
Municipalidad Provincial de Cajamarca,@municaj 
Municipalidad Provincial de Chachapoyas,@munichachapoyas
Municipalidad Provincial de Abancay,
Municipalidad Provincial de Huamanga,@munihuamanga
Municipalidad Provincial del Callao,@municallao
Municipalidad Provincial del Cusco,@municusco
Municipalidad Provincial de Huancavelica,@mphuancavelica
Municipalidad Provincial de Huánuco,@MuniHuanuco
Municipalidad Provincial de Huancayo,@munihuancayo
Municipalidad Provincial de Trujillo,
Municipalidad Provincial de Chiclayo,@munichiclayo 
Municipalidad Provincial de Moquegua,@munimoquegua
Municipalidad Provincial de Piura,@munipiura
Municipalidad Provincial de Puno,@munipunompp
Municipalidad Provincial de Tacna,@MUNITACNA
Municipalidad Provincial de Tumbes,@MuniTumbes1
Breña,
Carabayllo,@municarabayllo
Cercado de Lima,
Chorrillos,
Cieneguilla,@municieneguilla
Comas,@municomas
San Juan de Lurigancho,
San Luis,
Santa Anita,@munisantaanita
Santa Rosa,
Villa El Savador,
Villa María del Triunfo,
El Agustino,
Independencia,
Lince,
Los Olivos,@munidelosolivos
Magdalena del Mar,@munimagdalenape
Puente Piedra,@munpuentepiedra
Barranco,@munibarranco
Lurín,@munilurin
Jesús María,@munijesusmaria
La Molina,@Munimolina
La Victoria,@munilavictoria
Miraflores,@MuniMiraflores
Pueblo Libre,@munipueblolibre
Rimac,@munirimac
San Borja,@MunideSanBorja
San Isidro,@munisanisidro
San Juan de Miraflores,@muni_sjm
San Martin de Porres,@Munismp
San Miguel,@munisanmiguel_
Santiago de Surco,@MuniSurco_
Surquillo,@MuniSurquillo
