Municipalidad Provincial de Moquegua,@munimoquegua
Municipalidad Provincial de Piura,@munipiura
Municipalidad Provincial de Puno,@munipunompp
Municipalidad Provincial de Tacna,@MUNITACNA
Municipalidad Provincial de Tumbes,@MuniTumbes1
Breña,
Carabayllo,@municarabayllo
Cercado de Lima,
Chorrillos,
Cieneguilla,@municieneguilla
Comas,@municomas
San Juan de Lurigancho,
San Luis,
Santa Anita,@munisantaanita
Santa Rosa,
Villa El Savador,
Villa María del Triunfo,
El Agustino,
Independencia,
Lince,
Los Olivos,@munidelosolivos
Magdalena del Mar,@munimagdalenape
Puente Piedra,@munpuentepiedra
Barranco,@munibarranco
Lurín,@munilurin
Jesús María,@munijesusmaria
La Molina,@Munimolina
La Victoria,@munilavictoria
Miraflores,@MuniMiraflores
Pueblo Libre,@munipueblolibre
Rimac,@munirimac
San Borja,@MunideSanBorja
San Isidro,@munisanisidro
San Juan de Miraflores,@muni_sjm
San Martin de Porres,@Munismp
San Miguel,@munisanmiguel_
Santiago de Surco,@MuniSurco_
Surquillo,@MuniSurquillo
